"STATION","NAME","DATE","DAPR","MDPR","PRCP","TMAX","TMIN","TOBS"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-01",,,,"77","66","68"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-02",,,,"72","65","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-03",,,,"71","57","57"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-04",,,,"72","51","51"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-05",,,,"59","42","43"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-06",,,,"64","42","45"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-07",,,,"69","44","51"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-08",,,,"72","50","55"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-09",,,,"74","55","55"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-10",,,,"60","39","40"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-11",,,,"56","37","40"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-12",,,,"61","38","50"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-13",,,,"70","45","45"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-14",,,,"48","41","41"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-15",,,,"43","41","42"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-16",,,,"48","40","43"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-17",,,,"61","39","47"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-18",,,,"66","47","58"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-19",,,,"71","56","63"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-20",,,,"71","37","37"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-21",,,,"49","32","32"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-22",,,,"56","31","56"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-23",,,,"72","55","60"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-24",,,,"69","35","35"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-25",,,,"51","33","34"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-26",,,,"54","34","36"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-27",,,,"59","36","44"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-28","   31","6.95",,"60","40","40"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-29",,,"0.20","67","40","50"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-30",,,"0.00","50","35","36"
"USC00165926","MARRERO 9 SSW, LA US","2019-01-31",,,"0.00","50","36","40"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-01",,,"0.27","63","39","53"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-02",,,"0.00","67","49","49"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-03",,,"0.00","66","48","58"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-04",,,"0.03","69","58","62"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-05",,,"0.00","73","62","66"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-06",,,"0.00","77","64","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-07",,,"0.00","78","68","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-08",,,"0.06","79","56","56"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-09",,,"0.00","56","45","45"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-10",,,"0.00","58","44","50"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-11",,,"0.29","70","50","63"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-12",,,,"76","62","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-13","    2","0.54",,"70","42","42"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-14",,,"0.00","64","40","44"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-15",,,,"71","43","59"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-16",,,,"69","59","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-17",,,,"76","65","68"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-18",,,,"78","55","55"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-19",,,,"58","51","58"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-20",,,,"72","58","70"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-21",,,,"75","64","66"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-22",,,,"80","65","72"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-23",,,,"81","72","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-24",,,,"81","59","59"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-25","   11","1.46",,"68","48","49"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-26",,,"0.15","60","48","55"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-27",,,"1.45","64","54","62"
"USC00165926","MARRERO 9 SSW, LA US","2019-02-28",,,"0.08","76","60","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-01",,,"0.31","76","63","66"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-02",,,,"75","66","67"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-03",,,,"76","66","67"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-04",,,,"79","42","42"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-05",,,,"49","36","36"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-06",,,,"50","35","35"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-07",,,,"55","32","38"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-08","    7","0.25",,"62","37","58"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-09",,,,"77","58","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-10",,,,"78","65","67"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-11","    3","0.00",,"82","66","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-12",,,"0.00","82","60","60"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-13",,,"0.00","73","59","66"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-14",,,"0.00","80","66","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-15",,,"0.00","82","62","62"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-16",,,,"62","48","48"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-17",,,,"58","46","48"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-18","    3","0.85",,"63","44","45"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-19",,,"0.00","63","45","49"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-20",,,"0.00","67","41","41"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-21",,,"0.00","69","41","47"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-22",,,"0.00","72","45","48"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-23",,,"0.00","73","48","49"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-24",,,"0.00","75","49","51"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-25",,,"0.00","78","51","59"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-26",,,"0.00","82","54","55"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-27",,,"0.00","70","47","47"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-28",,,"0.00","72","46","50"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-29",,,"0.00","73","50","54"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-30",,,"0.00","76","54","62"
"USC00165926","MARRERO 9 SSW, LA US","2019-03-31",,,"0.00","80","54","54"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-01",,,"0.20","54","44","44"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-02",,,"0.00","66","42","45"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-03",,,,"68","44","47"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-04",,,,"74","47","63"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-05",,,,"66","61","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-06",,,,"77","65","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-07",,,,"82","71","72"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-08","    6","4.46",,"79","66","67"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-09",,,"0.00","80","63","63"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-10",,,"0.00","83","61","61"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-11",,,"0.00","85","61","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-12",,,"0.00","81","64","68"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-13",,,"0.00","79","68","72"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-14",,,"0.45","82","63","63"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-15",,,"0.00","68","49","49"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-16",,,"0.00","75","49","53"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-17",,,"0.00","78","52","62"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-18",,,"0.00","80","62","70"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-19",,,"0.26","78","55","55"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-20",,,"0.00","70","51","52"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-21",,,"0.00","74","49","49"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-22",,,"0.00","77","49","53"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-23",,,"0.00","79","53","57"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-24",,,"0.00","75","57","66"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-25",,,"0.00","80","66","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-26",,,"1.02","74","61","61"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-27",,,"0.00","81","56","56"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-28",,,"0.00","80","56","58"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-29",,,"0.00","83","58","64"
"USC00165926","MARRERO 9 SSW, LA US","2019-04-30",,,"0.00","82","64","70"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-01",,,"0.00","85","69","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-02",,,"0.00","86","69","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-03",,,"0.00","86","67","67"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-04",,,"0.00","84","66","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-05",,,"0.39","78","66","66"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-06",,,"0.00","80","65","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-07",,,,"84","64","64"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-08",,,,"85","64","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-09",,,,"84","71","76"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-10",,,,"87","68","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-11",,,,"82","68","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-12",,,,"86","70","76"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-13","    7","4.56",,"81","69","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-14",,,"0.00","83","62","62"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-15",,,"0.00","82","60","61"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-16",,,"0.00","84","61","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-17",,,"0.00","86","64","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-18",,,"0.00","85","65","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-19",,,,"88","71","77"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-20","    2","1.55",,"78","68","72"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-21",,,"0.00","89","72","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-22",,,"0.00","86","75","77"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-23",,,"0.00","89","74","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-24",,,"0.00","88","70","70"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-25",,,"0.00","89","70","72"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-26",,,"0.00","90","71","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-27",,,"0.00","91","71","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-28",,,"0.00","89","72","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-29",,,"0.00","90","72","72"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-30",,,"0.00","90","71","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-05-31",,,"0.00","92","70","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-01",,,,"93","74","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-02",,,,"93","75","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-03",,,,"93","75","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-04",,,"0.00","94","74","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-05",,,"0.02","93","74","78"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-06",,,"0.05","87","78","80"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-08",,,,"88","74","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-09",,,,"91","73","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-10",,,,"92","73","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-11",,,"0.00","92","73","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-12",,,"0.00","88","69","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-13",,,"0.00","83","65","65"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-14",,,"0.00","91","65","68"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-15",,,,"90","68","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-16",,,,"91","73","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-17",,,,"94","73","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-18",,,,"88",,"77"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-19",,,,"89","73","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-20",,,"0.00","93","75","79"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-21",,,"0.00","92","79","81"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-22",,,"0.00","91","78","79"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-23",,,"0.00","93","79","79"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-24",,,"0.00","92","79","80"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-25",,,"0.14","84","73","77"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-26",,,"0.00","93","75","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-27",,,"0.00","91","74","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-28",,,"0.00","95","71","71"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-29",,,,"94","69","69"
"USC00165926","MARRERO 9 SSW, LA US","2019-06-30",,,,"88","69","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-07-01",,,,"92","73","73"
"USC00165926","MARRERO 9 SSW, LA US","2019-07-02",,,"0.16","93","73","75"
"USC00165926","MARRERO 9 SSW, LA US","2019-07-03",,,"0.05","85","74","74"
"USC00165926","MARRERO 9 SSW, LA US","2019-07-07",,,,"97","76","77"
"USC00165926","MARRERO 9 SSW, LA US","2019-07-08",,,,"97","77","77"
"USC00165926","MARRERO 9 SSW, LA US","2019-07-09",,,,"96","77","79"
